nombre_clean,cod_ine,tipo_distintivo,tipo_area,num_dist22,prov,pob,tot22,por_dist22,tasa_dist22,edad_media,em_nacional,dif_edad_media
A Arnoia,32003,CERO,Áreas no urbanas,0,Ourense,1015,74,0,0,NA,4.31,NA
A Arnoia,32003,DISTINTIVO B,Áreas no urbanas,17,Ourense,1015,74,22.97,16.75,14.18,13.77,0.41
A Arnoia,32003,DISTINTIVO C,Áreas no urbanas,5,Ourense,1015,74,6.76,4.93,4.2,4.55,-0.35
A Arnoia,32003,ECO,Áreas no urbanas,0,Ourense,1015,74,0,0,NA,3.54,NA
A Arnoia,32003,SIN DISTINTIVO,Áreas no urbanas,52,Ourense,1015,74,70.27,51.23,24.62,25.2,-0.59
A Baña,15007,CERO,Áreas no urbanas,0,A Coruña,3333,150,0,0,NA,4.31,NA
A Baña,15007,DISTINTIVO B,Áreas no urbanas,45,A Coruña,3333,150,30,13.5,13.36,13.77,-0.41
A Baña,15007,DISTINTIVO C,Áreas no urbanas,8,A Coruña,3333,150,5.33,2.4,4.62,4.55,0.08
A Baña,15007,ECO,Áreas no urbanas,0,A Coruña,3333,150,0,0,NA,3.54,NA
A Baña,15007,SIN DISTINTIVO,Áreas no urbanas,97,A Coruña,3333,150,64.67,29.1,23.56,25.2,-1.64
A Bola,32014,CERO,Áreas no urbanas,0,Ourense,1088,57,0,0,NA,4.31,NA
A Bola,32014,DISTINTIVO B,Áreas no urbanas,23,Ourense,1088,57,40.35,21.14,14.35,13.77,0.58
A Bola,32014,DISTINTIVO C,Áreas no urbanas,4,Ourense,1088,57,7.02,3.68,4.25,4.55,-0.3
A Bola,32014,ECO,Áreas no urbanas,0,Ourense,1088,57,0,0,NA,3.54,NA
A Bola,32014,SIN DISTINTIVO,Áreas no urbanas,30,Ourense,1088,57,52.63,27.57,24.67,25.2,-0.53
A Capela,15018,CERO,Áreas no urbanas,0,A Coruña,1225,59,0,0,NA,4.31,NA
A Capela,15018,DISTINTIVO B,Áreas no urbanas,11,A Coruña,1225,59,18.64,8.98,13.64,13.77,-0.13
A Capela,15018,DISTINTIVO C,Áreas no urbanas,4,A Coruña,1225,59,6.78,3.27,4.5,4.55,-0.05
A Capela,15018,ECO,Áreas no urbanas,0,A Coruña,1225,59,0,0,NA,3.54,NA
A Capela,15018,SIN DISTINTIVO,Áreas no urbanas,44,A Coruña,1225,59,74.58,35.92,22.3,25.2,-2.91
A Cañiza,36009,CERO,Áreas no urbanas,0,Pontevedra,5115,319,0,0,NA,4.31,NA
A Cañiza,36009,DISTINTIVO B,Áreas no urbanas,93,Pontevedra,5115,319,29.15,18.18,13.53,13.77,-0.24
A Cañiza,36009,DISTINTIVO C,Áreas no urbanas,40,Pontevedra,5115,319,12.54,7.82,5.1,4.55,0.55
A Cañiza,36009,ECO,Áreas no urbanas,2,Pontevedra,5115,319,0.63,0.39,2,3.54,-1.54
A Cañiza,36009,SIN DISTINTIVO,Áreas no urbanas,184,Pontevedra,5115,319,57.68,35.97,25.28,25.2,0.08
A Coruña,15030,CERO,Grandes áreas urbanas,13,A Coruña,244700,5947,0.22,0.05,3,4.31,-1.31
A Coruña,15030,DISTINTIVO B,Grandes áreas urbanas,1769,A Coruña,244700,5947,29.75,7.23,13.52,13.77,-0.25
A Coruña,15030,DISTINTIVO C,Grandes áreas urbanas,584,A Coruña,244700,5947,9.82,2.39,5.02,4.55,0.47
A Coruña,15030,ECO,Grandes áreas urbanas,43,A Coruña,244700,5947,0.72,0.18,3.49,3.54,-0.05
A Coruña,15030,SIN DISTINTIVO,Grandes áreas urbanas,3538,A Coruña,244700,5947,59.49,14.46,29.23,25.2,4.03
A Estrada,36017,CERO,Pequeñas áreas urbanas,0,Pontevedra,20106,1295,0,0,NA,4.31,NA
A Estrada,36017,DISTINTIVO B,Pequeñas áreas urbanas,394,Pontevedra,20106,1295,30.42,19.6,14,13.77,0.23
A Estrada,36017,DISTINTIVO C,Pequeñas áreas urbanas,102,Pontevedra,20106,1295,7.88,5.07,5.16,4.55,0.61
A Estrada,36017,ECO,Pequeñas áreas urbanas,0,Pontevedra,20106,1295,0,0,NA,3.54,NA
A Estrada,36017,SIN DISTINTIVO,Pequeñas áreas urbanas,799,Pontevedra,20106,1295,61.7,39.74,26.13,25.2,0.92
A Fonsagrada,27018,CERO,Áreas no urbanas,0,Lugo,3265,279,0,0,NA,4.31,NA
A Fonsagrada,27018,DISTINTIVO B,Áreas no urbanas,79,Lugo,3265,279,28.32,24.2,13.35,13.77,-0.42
A Fonsagrada,27018,DISTINTIVO C,Áreas no urbanas,19,Lugo,3265,279,6.81,5.82,4.21,4.55,-0.34
A Fonsagrada,27018,ECO,Áreas no urbanas,4,Lugo,3265,279,1.43,1.23,3.25,3.54,-0.29
A Fonsagrada,27018,SIN DISTINTIVO,Áreas no urbanas,177,Lugo,3265,279,63.44,54.21,26.82,25.2,1.62
A Guarda,36023,CERO,Áreas no urbanas,0,Pontevedra,10013,425,0,0,NA,4.31,NA
A Guarda,36023,DISTINTIVO B,Áreas no urbanas,144,Pontevedra,10013,425,33.88,14.38,13.67,13.77,-0.1
A Guarda,36023,DISTINTIVO C,Áreas no urbanas,32,Pontevedra,10013,425,7.53,3.2,4.66,4.55,0.11
A Guarda,36023,ECO,Áreas no urbanas,0,Pontevedra,10013,425,0,0,NA,3.54,NA
A Guarda,36023,SIN DISTINTIVO,Áreas no urbanas,249,Pontevedra,10013,425,58.59,24.87,24.44,25.2,-0.76
A Gudiña,32034,CERO,Áreas no urbanas,0,Ourense,1180,131,0,0,NA,4.31,NA
A Gudiña,32034,DISTINTIVO B,Áreas no urbanas,46,Ourense,1180,131,35.11,38.98,13.98,13.77,0.21
A Gudiña,32034,DISTINTIVO C,Áreas no urbanas,5,Ourense,1180,131,3.82,4.24,3.8,4.55,-0.75
A Gudiña,32034,ECO,Áreas no urbanas,0,Ourense,1180,131,0,0,NA,3.54,NA
A Gudiña,32034,SIN DISTINTIVO,Áreas no urbanas,80,Ourense,1180,131,61.07,67.8,24.99,25.2,-0.21
A Illa de Arousa,36901,CERO,Áreas no urbanas,0,Pontevedra,4878,213,0,0,NA,4.31,NA
A Illa de Arousa,36901,DISTINTIVO B,Áreas no urbanas,91,Pontevedra,4878,213,42.72,18.66,13.52,13.77,-0.25
